problem_id,classifier,sample_flag,sampler,select_flag,stratify_flag,test_mode,duplicate,total_size,split,train_ratio,train_size,upsmaple_size,tag_info,select_mode,class_mode,f_score,acc,auc,base_acc_0,base_acc_1
900/D,rft,True,smote,False,True,cross,remove,1137,kf,0.9,1023,1530,['none'],none,OK,0.95,0.92,0.95,0.75,0.25
900/E,rft,True,smote,False,True,cross,remove, 496,kf,0.9, 446, 804,['none'],none,OK,0.96,0.93,0.87,0.90,0.10
282/A,rft,True,smote,False,True,cross,remove,2523,kf,0.9,2270,3480,['none'],none,OK,0.83,0.72,0.61,0.77,0.23
282/B,rft,True,smote,False,True,cross,remove,1694,kf,0.9,1524,1874,['none'],none,OK,0.75,0.69,0.75,0.61,0.39
282/C,rft,True,smote,False,True,cross,remove,1828,kf,0.9,1645,1796,['none'],none,OK,0.79,0.75,0.81,0.55,0.45
282/D,rft,True,smote,False,True,cross,remove, 942,kf,0.9, 847,1188,['none'],none,OK,0.88,0.83,0.85,0.70,0.30
282/E,rft,True,smote,False,True,cross,remove,1110,kf,0.9, 999,1262,['none'],none,OK,0.83,0.76,0.72,0.63,0.37
848/A,rft,True,smote,False,True,cross,remove,1006,kf,0.9, 905,1778,['none'],none,OK,0.99,0.98,0.68,0.98,0.02
848/B,rft,True,smote,False,True,cross,remove, 737,kf,0.9, 663,1260,['none'],none,OK,0.97,0.94,0.72,0.95,0.05
848/C,rft,True,smote,False,True,cross,remove, 351,kf,0.9, 315, 526,['none'],none,OK,0.91,0.83,0.74,0.83,0.17

455/A,rft,True,smote,False,True,cross,remove,1363,kf,0.9,1226,1618,['none'],-fns,OK,0.55,0.72,0.78,0.34,0.66
899/A,rft,True,smote,False,True,cross,remove, 403,kf,0.9, 362, 576,['none'],-fns,OK,0.89,0.82,0.75,0.79,0.21
